id,title,Release Year,runtime,Budget,CPI budget,Budget Type,revenue,genres
4192,Death on the Nile,1978,140,$7920000,$3061244,Low,$14560084,Mystery
1991,Death Proof,2007,113,$25000000,$25848789,Mid,$31126421,"Action, Thriller"
10483,Death Race,2008,105,$45000000,$34572849,Mid,$76014335,"Action, Thriller, Science Fiction"
13282,Death Race 2000,1975,80,$300000,$96778,Low,$8000000,"Action, Comedy, Science Fiction"
11835,Death Sentence,2007,105,$20000000,$20679031,Mid,$16974459,"Action, Crime, Drama, Thriller"
9275,Death to Smoochy,2002,109,$55000000,$102282882,High,$8382938,"Comedy, Crime, Drama, Thriller"
17466,Death Warrant,1990,89,$4000000,$2185661,Low,$16853487,"Action, Crime, Thriller"
13939,Death Wish,1974,93,$3000000,$800428,Low,$22000000,"Crime, Drama, Action"
395990,Death Wish,2018,107,$30000000,$36226300,Mid,$34017028,"Action, Crime, Drama, Thriller"
24873,Death Wish 3,1985,92,$9000000,$7486856,Low,$16116878,"Action, Crime, Drama"
26263,Death Wish 4: The Crackdown,1987,99,$5000000,$4024388,Low,$6880310,"Action, Crime, Drama"
14373,Death Wish II,1982,92,$2000000,$962101,Low,$45000000,"Action, Crime, Drama"
34746,Death Wish V: The Face of Death,1994,95,$5000000,$5655976,Low,$1702394,"Action, Crime, Drama"
4629,December Boys,2007,105,$4000000,$4135806,Low,$46474,"Drama, Romance"
13018,Deception,2008,107,$25000000,$19207138,Low,$18024545,"Thriller, Mystery"
9969,Deck the Halls,2006,93,$51000000,$46630004,Mid,$47231070,"Comedy, Family"
177047,Decoding Annie Parker,2014,91,$2000000,$3636399,Low,$60048,Drama
2639,Deconstructing Harry,1997,96,$20000000,$25234529,Mid,$10686841,"Comedy, Drama"
430474,Deep,2017,92,$6000000,$8308093,Low,$10972300,"Animation, Family, Adventure"
11019,Deep Blue,2003,83,$5000000,$6496480,Low,$19292500,Documentary
8914,Deep Blue Sea,1999,105,$60000000,$80881770,High,$164648142,"Action, Horror, Science Fiction"
8656,Deep Impact,1998,120,$75000000,$142509418,High,$349464664,"Action, Drama, Science Fiction"
9457,Deep Rising,1998,106,$45000000,$85505651,High,$11203026,"Adventure, Action, Horror, Science Fiction"
5853,Deep Throat,1972,61,$25000,$22534,Low,$100000000,Comedy
11607,DeepStar Six,1989,105,$8000000,$4888375,Low,$8143225,"Action, Horror, Thriller, Science Fiction"
296524,Deepwater Horizon,2016,107,$110000000,$257175088,High,$121790373,"Drama, Action"
56895,Defamation,2009,91,$1000000,$4576783,Low,$11410,Documentary
34769,Defendor,2009,101,$3500000,$16018742,Low,$44462,"Drama, Action, Comedy, Crime"
